,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
DSCC1,0.161004699,5.925755851,12.56982469,2.58E-34,5.08E-30,67.04339534,4.716456833,4.716456833
C8orf76,0.098543502,6.160466343,12.06138412,7.36E-32,7.26E-28,61.44972371,2.674374971,2.674374971
TATDN1,0.092332513,6.147766278,11.48437061,3.60E-29,2.37E-25,55.33501398,2.273727619,2.273727619
NDUFB9,0.085844645,6.514548041,11.32280772,1.95E-28,9.63E-25,53.47853435,2.061663997,2.061663997
DERL1,0.067177513,6.503792798,11.14265826,1.26E-27,4.96E-24,51.64640912,1.565535794,1.565535794
NUDCD1,0.093142658,6.216573373,11.05377713,3.12E-27,1.03E-23,50.88978666,2.141214793,2.141214793
NSMCE2,0.08659406,6.120329957,11.03841142,3.65E-27,1.03E-23,50.78819218,1.990577212,1.990577212
MRPL13,0.090733588,6.299302098,10.98944561,6.01E-27,1.48E-23,50.1981459,2.071369445,2.071369445
DCAF13,0.084834576,6.374718519,10.95019027,8.95E-27,1.96E-23,49.76610049,1.926376143,1.926376143
POP1,0.107956561,5.98934445,10.77580291,5.17E-26,1.02E-22,48.21939659,2.374123928,2.374123928
TMEM65,0.107272309,6.177918666,10.75667218,6.26E-26,1.12E-22,47.94537541,2.354618096,2.354618096
SQLE,0.110529036,6.420260193,10.56570125,4.15E-25,6.82E-22,45.93846059,2.339492227,2.339492227
MTBP,0.141768551,5.846577744,10.50629807,7.43E-25,1.13E-21,45.5947289,2.969775598,2.969775598
MTERFD1,0.089346553,6.154323811,10.49466074,8.32E-25,1.17E-21,45.41092856,1.870095908,1.870095908
MED30,0.099531949,5.939872883,10.43930316,1.43E-24,1.76E-21,44.96300576,2.065715693,2.065715693
PTDSS1,0.076328349,6.439151863,10.46367341,1.13E-24,1.48E-21,44.95151994,1.58987216,1.58987216
WDR67,0.111038053,5.951457797,10.34735357,3.48E-24,4.04E-21,44.08501017,2.264441996,2.264441996
ATAD2,0.107917335,6.389715488,10.23922996,9.86E-24,1.08E-20,42.8240169,2.154732381,2.154732381
ORC6L,0.17845747,5.789438758,10.21010368,1.30E-23,1.35E-20,42.77519719,3.545769273,3.545769273
LRP8,0.173690952,5.822031972,10.15750055,2.15E-23,2.12E-20,42.29538248,3.417102079,3.417102079
CENPA,0.193589641,5.76516659,10.13926251,2.56E-23,2.40E-20,42.10780946,3.798103864,3.798103864
ENY2,0.076754966,6.264045367,9.858315108,3.58E-22,3.21E-19,39.36372056,1.419510543,1.419510543
EIF2C2,0.112263394,6.009450519,9.810877641,5.55E-22,4.76E-19,39.08047126,2.056959591,2.056959591
SLC25A32,0.067872815,6.218841883,9.774390964,7.77E-22,6.38E-19,38.63156292,1.234940815,1.234940815
CDCA8,0.124826682,6.102940807,9.666235492,2.09E-21,1.65E-18,37.71213726,2.219674849,2.219674849
CDC25A,0.161534803,5.817684814,9.56826439,5.10E-21,3.72E-18,36.94212013,2.815379517,2.815379517
RAD21,0.071123596,6.675177097,9.597296439,3.92E-21,2.97E-18,36.75323358,1.246564856,1.246564856
BIRC5,0.164898067,6.060439056,9.542669768,6.42E-21,4.49E-18,36.6229745,2.860658871,2.860658871
TRMT12,0.075433566,6.17014205,9.539737018,6.60E-21,4.49E-18,36.55411329,1.308624806,1.308624806
C15orf42,0.160067174,5.842141052,9.499050102,9.52E-21,6.06E-18,36.33258406,2.756015326,2.756015326
C1orf106,0.269472343,5.844930801,9.472858894,1.20E-20,7.42E-18,36.09016825,4.615931658,4.615931658
TRIP13,0.128556586,6.06854577,9.453339742,1.43E-20,8.57E-18,35.84012203,2.194065204,2.194065204
RAD54B,0.119932277,5.905720352,9.384375446,2.65E-20,1.54E-17,35.32265873,2.016370232,2.016370232
KIF2C,0.137133707,6.129572792,9.256903085,8.20E-20,4.62E-17,34.0770704,2.240143728,2.240143728
CDCA5,0.121806219,6.144476236,9.242139449,9.33E-20,5.11E-17,33.9447431,1.984389074,1.984389074
C1orf135,0.156531876,5.645843976,9.212965875,1.21E-19,6.42E-17,33.77013075,2.534587152,2.534587152
A2ML1,0.749576005,4.445108994,9.504454553,9.07E-21,5.96E-18,33.66306342,12.91124575,12.91124575
AURKB,0.167539153,5.892986722,9.18057347,1.60E-19,7.92E-17,33.55859443,2.697556118,2.697556118
CDC20,0.137884316,6.184708274,9.185030791,1.54E-19,7.92E-17,33.41567453,2.220082137,2.220082137
CBX2,0.18115702,5.997826087,9.159139332,1.93E-19,9.28E-17,33.31340758,2.904401998,2.904401998
LAPTM4B,0.098134339,6.540531107,9.180062764,1.61E-19,7.92E-17,33.15902017,1.580065799,1.580065799
UBE2C,0.14366038,6.175816937,9.114883033,2.83E-19,1.33E-16,32.81868106,2.280728975,2.280728975
ABTB2,0.162765631,5.802880762,9.041588836,5.34E-19,2.45E-16,32.39664847,2.540899362,2.540899362
FAM72B,0.156545822,5.776497626,9.020883044,6.38E-19,2.80E-16,32.22047215,2.434774562,2.434774562
NDC80,0.139568155,5.993064289,9.015711521,6.67E-19,2.81E-16,32.11334568,2.170545465,2.170545465
PSAT1,0.273150998,5.668381061,9.00478567,7.33E-19,3.01E-16,32.07641997,4.239592382,4.239592382
FAM91A1,0.068265348,6.400023811,9.03446529,5.68E-19,2.55E-16,32.01125838,1.064537872,1.064537872
FAM49B,0.066624331,6.397353044,9.015492835,6.69E-19,2.81E-16,31.85260971,1.036132773,1.036132773
SHCBP1,0.128981143,5.938089453,8.96659022,1.02E-18,4.01E-16,31.73587525,1.985870429,1.985870429
CCNB2,0.128288698,6.102906446,8.952205777,1.15E-18,4.45E-16,31.50237795,1.969459982,1.969459982
YWHAZ,0.054034776,6.82820615,9.000513676,7.60E-19,3.06E-16,31.45834994,0.838300013,0.838300013
DNMT3B,0.127831008,5.833662701,8.892603776,1.91E-18,7.25E-16,31.15165318,1.935320588,1.935320588
PVT1,0.120204692,5.882548518,8.848066397,2.79E-18,1.02E-15,30.77346774,1.802121764,1.802121764
FAM83D,0.150089423,6.024196762,8.849048759,2.76E-18,1.02E-15,30.69125801,2.250156884,2.250156884
MCM10,0.167780875,5.907704302,8.83910334,3.01E-18,1.08E-15,30.67808183,2.511204237,2.511204237
CENPN,0.100765314,6.051535546,8.793743541,4.41E-18,1.50E-15,30.23396417,1.493757028,1.493757028
CCNA2,0.122815902,6.116895703,8.796332385,4.31E-18,1.49E-15,30.19375054,1.820871848,1.820871848
PABPC1,0.054485251,6.874313158,8.835732512,3.09E-18,1.09E-15,30.04217132,0.815242196,0.815242196
WDYHV1,0.074260903,6.049044297,8.759318616,5.89E-18,1.94E-15,29.96383785,1.092620605,1.092620605
PLK1,0.127386934,6.149132585,8.76120982,5.79E-18,1.94E-15,29.87632516,1.874278163,1.874278163
BLM,0.12424544,5.895166848,8.673323122,1.21E-17,3.84E-15,29.33547913,1.791082924,1.791082924
AURKA,0.116020754,6.120370419,8.676223953,1.18E-17,3.81E-15,29.20691025,1.672914472,1.672914472
SKA3,0.137019799,5.888080987,8.636279432,1.64E-17,5.14E-15,29.0350142,1.957893986,1.957893986
CHRNA5,0.255320343,5.423314466,8.623880677,1.82E-17,5.61E-15,28.73959287,3.638672003,3.638672003
BOP1,0.138343987,6.041563811,8.590918837,2.39E-17,7.25E-15,28.56666549,1.956171157,1.956171157
MAD2L1,0.101724894,6.101846687,8.584286573,2.52E-17,7.42E-15,28.48080525,1.437304416,1.437304416
INTS8,0.061383105,6.332671091,8.58808421,2.44E-17,7.30E-15,28.3519048,0.867735468,0.867735468
SKA1,0.155529214,5.809597702,8.538033868,3.69E-17,1.04E-14,28.26527701,2.174800946,2.174800946
CEP55,0.126701673,6.084545237,8.548471261,3.39E-17,9.68E-15,28.19431562,1.775619472,1.775619472
TPX2,0.108017302,6.354691637,8.563287941,3.00E-17,8.70E-15,28.1180074,1.51879909,1.51879909
OTUD6B,0.082631759,6.050673829,8.505217804,4.83E-17,1.32E-14,27.8944428,1.146828351,1.146828351
KIF18B,0.149759075,5.893846277,8.474123352,6.22E-17,1.64E-14,27.72690136,2.064625643,2.064625643
NFKBIL2,0.104527188,6.08359411,8.485073266,5.69E-17,1.54E-14,27.69611638,1.443869812,1.443869812
RAD51,0.121590158,5.890214703,8.466456347,6.62E-17,1.72E-14,27.67522237,1.673682262,1.673682262
MTDH,0.054502338,6.581737815,8.506499211,4.78E-17,1.32E-14,27.53599741,0.756426192,0.756426192
NDRG1,0.092243629,6.562028389,8.482391485,5.81E-17,1.55E-14,27.33911028,1.273861685,1.273861685
PABPC3,0.088085972,6.056654717,8.433148369,8.68E-17,2.22E-14,27.31102869,1.202643511,1.202643511
CDC45,0.159692619,5.861440527,8.409595918,1.05E-16,2.66E-14,27.22752529,2.167952569,2.167952569
KIF23,0.103169377,6.152272516,8.385728913,1.27E-16,3.18E-14,26.84727942,1.39253193,1.39253193
UTP23,0.070624837,6.215622152,8.382482161,1.31E-16,3.22E-14,26.78505457,0.952894112,0.952894112
KIF13B,-0.112764722,6.336078803,-8.381149442,1.32E-16,3.22E-14,26.77591886,-1.521459641,1.521459641
CDCA3,0.128192589,5.940624777,8.348440967,1.72E-16,4.09E-14,26.71164211,1.716306391,1.716306391
PLCH1,0.349611726,5.566484855,8.325108093,2.07E-16,4.81E-14,26.57502294,4.655936215,4.655936215
RECQL4,0.110985064,6.114295848,8.344448291,1.78E-16,4.17E-14,26.54955402,1.484953386,1.484953386
POLR2K,0.061610667,6.356393422,8.36356195,1.52E-16,3.66E-14,26.53571832,0.827806309,0.827806309
DEPDC1,0.149526567,5.941809799,8.321325017,2.14E-16,4.91E-14,26.489293,1.990101496,1.990101496
CCNE2,0.125662959,5.973774157,8.315971426,2.23E-16,5.06E-14,26.43399713,1.670781023,1.670781023
FAM72D,0.177030686,5.552240866,8.264289236,3.37E-16,7.56E-14,26.03548659,2.322871964,2.322871964
NCAPG,0.114333743,6.105592653,8.251912643,3.72E-16,8.25E-14,25.82870914,1.495872531,1.495872531
RAD54L,0.143476987,5.835007556,8.227916778,4.51E-16,9.66E-14,25.82056532,1.867343068,1.867343068
CENPE,0.121683343,6.054754551,8.240534542,4.08E-16,8.84E-14,25.78000312,1.58842088,1.58842088
SGOL1,0.185526705,5.638327117,8.21318926,5.07E-16,1.05E-13,25.70295592,2.4077878,2.4077878
ZNF706,0.057715846,6.391006422,8.245224844,3.93E-16,8.61E-14,25.58265486,0.75406479,0.75406479
CTPS,0.075388105,6.226740246,8.21460041,5.01E-16,1.05E-13,25.45433715,0.978415702,0.978415702
FOXM1,0.118860493,6.267121635,8.215647714,4.97E-16,1.05E-13,25.41256958,1.542617002,1.542617002
TTC35,0.059714842,6.286575827,8.206174721,5.35E-16,1.10E-13,25.34981778,0.773816287,0.773816287
C15orf23,0.076799514,6.083742419,8.149744935,8.36E-16,1.68E-13,25.07331855,0.98103099,0.98103099
TTK,0.133488539,5.976394643,8.134801578,9.40E-16,1.84E-13,25.02114584,1.700104218,1.700104218
GTSE1,0.128614823,5.931016379,8.118710376,1.07E-15,2.04E-13,24.93339711,1.632068239,1.632068239
PIF1,0.20520205,5.362495597,8.144744277,8.70E-16,1.73E-13,24.91486654,2.61873419,2.61873419
PUF60,0.056846457,6.53192433,8.157881854,7.84E-16,1.59E-13,24.81185144,0.727481485,0.727481485
MELK,0.133100647,6.036251944,8.091248802,1.32E-15,2.49E-13,24.63695918,1.677663832,1.677663832
FAM64A,0.156054821,5.745249575,8.070718454,1.55E-15,2.89E-13,24.6332831,1.956756423,1.956756423
MYBL2,0.148260735,6.224421522,8.109182151,1.15E-15,2.18E-13,24.60734413,1.877176491,1.877176491
ECE2,0.098296793,5.968535133,8.068593613,1.58E-15,2.91E-13,24.53570909,1.232226809,1.232226809
FAM54A,0.156855233,5.588999897,8.057288282,1.73E-15,3.12E-13,24.48450819,1.961556512,1.961556512
AZIN1,0.054969524,6.604992424,8.120111161,1.06E-15,2.04E-13,24.47288902,0.697569786,0.697569786
NCAPH,0.116406068,6.017045017,8.024485078,2.23E-15,3.92E-13,24.15174658,1.444186264,1.444186264
PHF20L1,0.05897824,6.365750256,8.057441326,1.72E-15,3.12E-13,24.14509455,0.737553658,0.737553658
CENPW,0.123880151,5.870621955,8.001468744,2.66E-15,4.61E-13,24.07862534,1.528258614,1.528258614
POLQ,0.139049042,5.809257382,7.996538334,2.77E-15,4.74E-13,24.06285777,1.713612078,1.713612078
MRPL15,0.065323866,6.31005475,8.040494675,1.97E-15,3.53E-13,24.05191288,0.813457378,0.813457378
GPR172A,0.068927329,6.385751462,8.022458698,2.26E-15,3.95E-13,23.86016536,0.854938527,0.854938527
KPNA2,0.073592011,6.505239156,8.032462341,2.09E-15,3.72E-13,23.85655884,0.914710428,0.914710428
E2F1,0.111692551,6.083610395,7.989918537,2.91E-15,4.95E-13,23.83299393,1.374410439,1.374410439
TROAP,0.1357763,5.94416541,7.972788858,3.32E-15,5.56E-13,23.81048153,1.663967106,1.663967106
ORC1L,0.146199532,5.748102398,7.958130528,3.72E-15,6.12E-13,23.78559449,1.785590284,1.785590284
E2F2,0.12977953,5.873262385,7.959973598,3.67E-15,6.08E-13,23.76253617,1.585376058,1.585376058
HJURP,0.126691077,5.991877788,7.93234952,4.54E-15,7.34E-13,23.471616,1.537312583,1.537312583
STIP1,0.051261053,6.554698483,7.979391285,3.16E-15,5.33E-13,23.42916857,0.62916123,0.62916123
CDC6,0.118285295,6.105564603,7.937340692,4.37E-15,7.12E-13,23.41247584,1.436863259,1.436863259
PIR,0.114610364,5.91900016,7.893980099,6.09E-15,9.62E-13,23.24486899,1.377276135,1.377276135
ANLN,0.115482966,6.224619275,7.924688749,4.81E-15,7.72E-13,23.21556614,1.398765843,1.398765843
MYBL1,0.141443378,5.959155633,7.879822946,6.79E-15,1.05E-12,23.09830729,1.69405101,1.69405101
RIPK2,0.068844064,6.207095976,7.9021936,5.72E-15,9.10E-13,23.08280376,0.828942128,0.828942128
BUB1,0.119012402,6.114741499,7.891429573,6.21E-15,9.73E-13,23.05780198,1.429578197,1.429578197
CCNE1,0.168315012,5.689666208,7.855377136,8.18E-15,1.23E-12,23.02219155,2.004514528,2.004514528
PTTG1,0.111008462,6.086279648,7.868740562,7.39E-15,1.13E-12,22.91808164,1.326206992,1.326206992
BYSL,0.063275153,6.185639591,7.864576685,7.63E-15,1.16E-12,22.82252922,0.755280698,0.755280698
OIP5,0.129682849,5.659360738,7.815866499,1.11E-14,1.61E-12,22.72130118,1.529199322,1.529199322
GSG2,0.144328423,5.535281537,7.81689223,1.10E-14,1.61E-12,22.66423848,1.701919561,1.701919561
FANCA,0.115950822,5.957640812,7.801849588,1.23E-14,1.77E-12,22.53126686,1.362660978,1.362660978
DDN,0.434850404,4.354740849,8.143613501,8.78E-16,1.73E-13,22.51206389,5.549445624,5.549445624
C1orf21,-0.114365361,6.394734404,-7.8329874,9.70E-15,1.45E-12,22.51118595,-1.353922156,1.353922156
TAF2,0.070160949,6.303736986,7.830203472,9.91E-15,1.47E-12,22.46576461,0.830190201,0.830190201
PRAME,0.632836904,4.851938372,7.873879931,7.11E-15,1.10E-12,22.44177671,7.569087961,7.569087961
PRC1,0.089026047,6.312253516,7.814062347,1.12E-14,1.63E-12,22.3314724,1.049536811,1.049536811
CHEK1,0.090248795,5.959694046,7.772709747,1.53E-14,2.16E-12,22.32611432,1.052817655,1.052817655
GPR126,0.175034217,5.887913862,7.757479208,1.72E-14,2.35E-12,22.2277338,2.035305588,2.035305588
NEIL3,0.186242431,5.513009619,7.749721659,1.82E-14,2.46E-12,22.1802252,2.162021994,2.162021994
CDKN3,0.115612765,5.869846074,7.732283761,2.08E-14,2.75E-12,22.07968899,1.336539456,1.336539456
CKS2,0.081658662,6.204091844,7.766784253,1.60E-14,2.23E-12,22.06940928,0.951523927,0.951523927
C16orf61,0.072284214,6.054960096,7.746639821,1.87E-14,2.50E-12,22.0613942,0.838607275,0.838607275
HSF1,0.057087455,6.424990087,7.786168302,1.38E-14,1.96E-12,22.0595068,0.668310975,0.668310975
PVR,0.076982218,6.182706602,7.762484264,1.66E-14,2.28E-12,22.05825389,0.896181667,0.896181667
C8orf30A,0.066555215,6.28337643,7.768215619,1.59E-14,2.22E-12,22.02245958,0.775639708,0.775639708
ATP6V1C2,0.142073962,5.695780837,7.708824943,2.48E-14,3.22E-12,21.94979666,1.632805978,1.632805978
CCT5,0.047538296,6.618129832,7.787907636,1.37E-14,1.95E-12,21.94938942,0.556643554,0.556643554
C8orf33,0.058287764,6.393915508,7.753260475,1.77E-14,2.41E-12,21.83584176,0.677142865,0.677142865
GTPBP4,0.053495198,6.377309077,7.745401324,1.88E-14,2.51E-12,21.79092462,0.620566835,0.620566835
LOC442454,0.080039693,5.866927193,7.677862475,3.12E-14,4.00E-12,21.69532015,0.912266673,0.912266673
CDC25B,0.078252673,6.325589778,7.721247799,2.26E-14,2.97E-12,21.6385002,0.902048096,0.902048096
KIF18A,0.123087905,5.848236745,7.66297254,3.49E-14,4.39E-12,21.5838004,1.398005787,1.398005787
DIAPH3,0.132219173,5.856399269,7.658571951,3.61E-14,4.51E-12,21.54458537,1.500197078,1.500197078
DKC1,0.051570483,6.413602906,7.714221585,2.38E-14,3.11E-12,21.53715044,0.593440108,0.593440108
SLC7A5,0.118061498,6.380647508,7.706759051,2.52E-14,3.25E-12,21.47716781,1.356381266,1.356381266
STIL,0.097776729,6.041342556,7.663468267,3.48E-14,4.39E-12,21.45006539,1.11052693,1.11052693
TIMM8A,0.07139887,5.839770781,7.640112788,4.14E-14,5.07E-12,21.43633731,0.806433019,0.806433019
SLC25A19,0.07495969,6.008658388,7.650933071,3.82E-14,4.74E-12,21.40131227,0.848866714,0.848866714
TCEB1,0.059516225,6.27852424,7.673577758,3.23E-14,4.11E-12,21.33251915,0.677686831,0.677686831
KIFC1,0.100605791,6.182983484,7.621888813,4.74E-14,5.77E-12,21.01531702,1.130671628,1.130671628
EBAG9,0.056534562,6.222543069,7.617397167,4.90E-14,5.93E-12,20.97009014,0.634703886,0.634703886
NIP7,0.057021347,6.170070206,7.597898168,5.66E-14,6.77E-12,20.87522705,0.636892345,0.636892345
YBX1,0.051320315,6.618998971,7.642021546,4.08E-14,5.03E-12,20.87156926,0.579828224,0.579828224
XPO5,0.05348696,6.383745782,7.614232809,5.02E-14,6.04E-12,20.8246674,0.600085783,0.600085783
RCCD1,0.077064747,5.944366121,7.560920179,7.44E-14,8.69E-12,20.80263148,0.852424291,0.852424291
E2F8,0.170443806,5.69899072,7.523747064,9.78E-14,1.11E-11,20.62197618,1.867224174,1.867224174
POLR2D,0.044182729,6.2007941,7.56331999,7.31E-14,8.59E-12,20.60401454,0.488937128,0.488937128
MTFR1,0.072744988,6.239285798,7.566670583,7.13E-14,8.43E-12,20.57983903,0.8056062,0.8056062
STK3,0.058043511,6.22308727,7.552425424,7.92E-14,9.19E-12,20.49816672,0.640598824,0.640598824
CYC1,0.058235911,6.46834675,7.569131373,7.01E-14,8.32E-12,20.43845736,0.645234272,0.645234272
KIF20A,0.113918741,6.146629319,7.52901953,9.41E-14,1.08E-11,20.36924954,1.249330947,1.249330947
MCM2,0.070685842,6.346213763,7.517222579,1.03E-13,1.16E-11,20.14189599,0.773075102,0.773075102
APH1B,-0.095934942,6.117703511,-7.464376883,1.51E-13,1.67E-11,20.06263764,-1.033831726,1.033831726
EIF3E,0.046612489,6.630620662,7.529951364,9.35E-14,1.08E-11,20.05220216,0.511213158,0.511213158
UQCRB,0.049442345,6.526163998,7.515861015,1.04E-13,1.16E-11,20.01933678,0.540647751,0.540647751
BTG2,-0.090350242,6.524686405,-7.505147815,1.12E-13,1.25E-11,20.00437444,-0.985114219,0.985114219
DEPDC1B,0.143982114,5.742727278,7.399034365,2.43E-13,2.63E-11,19.7384987,1.523336326,1.523336326
WDR4,0.07112881,5.930167765,7.40779958,2.28E-13,2.48E-11,19.72672744,0.754334218,0.754334218
BUB1B,0.106745406,6.080562663,7.422248965,2.05E-13,2.25E-11,19.67324598,1.136650836,1.136650836
HRSP12,0.071458302,6.09550049,7.395986418,2.48E-13,2.67E-11,19.49259037,0.755517813,0.755517813
SNRPA1,0.061684718,6.169189708,7.386724311,2.65E-13,2.84E-11,19.36241615,0.650536708,0.650536708
SUV39H2,0.076115304,5.973088632,7.351495814,3.42E-13,3.55E-11,19.29324402,0.795394477,0.795394477
RDH10,0.111190035,6.179463954,7.380774142,2.77E-13,2.95E-11,19.28274411,1.170815474,1.170815474
DLGAP5,0.120413591,6.017098052,7.356008515,3.31E-13,3.47E-11,19.25988899,1.259449229,1.259449229
GINS1,0.089008653,6.064491362,7.354631837,3.34E-13,3.49E-11,19.22162437,0.930795928,0.930795928
KIF15,0.122830412,5.914071447,7.331658288,3.94E-13,4.05E-11,19.18041312,1.276520554,1.276520554
CDCA7,0.206988966,5.689614679,7.317036974,4.38E-13,4.47E-11,19.17074781,2.142190401,2.142190401
RRS1,0.070484559,6.204402119,7.361884529,3.17E-13,3.35E-11,19.14974528,0.738354539,0.738354539
FBXL6,0.07194157,6.160087356,7.348927332,3.48E-13,3.60E-11,19.09841394,0.75136668,0.75136668
MTHFD2,0.056929926,6.429410948,7.361951368,3.17E-13,3.35E-11,18.98378076,0.596364224,0.596364224
CHRAC1,0.052057058,6.24018134,7.314226653,4.47E-13,4.54E-11,18.79300956,0.538416007,0.538416007
PNP,0.062719776,6.294987204,7.290501777,5.29E-13,5.35E-11,18.57641106,0.644219932,0.644219932
CDT1,0.109935212,6.000040907,7.241076951,7.52E-13,7.49E-11,18.48207746,1.113127886,1.113127886
ARHGAP11A,0.095763448,6.097636567,7.249054476,7.11E-13,7.12E-11,18.44789216,0.971778475,0.971778475
BEND3,0.090176945,5.904865899,7.210711029,9.33E-13,9.11E-11,18.36501701,0.905432576,0.905432576
TAF5,0.067959101,5.802742939,7.200526224,1.00E-12,9.69E-11,18.36185082,0.680519404,0.680519404
CIRBP,-0.053520225,6.571840608,-7.276394797,5.85E-13,5.89E-11,18.33617506,-0.547508529,0.547508529
RPP25,0.097409708,5.999654695,7.215641141,9.01E-13,8.84E-11,18.31275057,0.979318463,0.979318463
PSMG1,0.067304974,6.143391895,7.206558697,9.60E-13,9.33E-11,18.12537509,0.675070596,0.675070596
MKI67,0.091003922,6.406782614,7.236965873,7.74E-13,7.68E-11,18.10980857,0.920489597,0.920489597
DDX39,0.060765895,6.33179384,7.217414432,8.89E-13,8.77E-11,18.04075973,0.611115471,0.611115471
TYMS,0.084981828,6.198720994,7.192881123,1.06E-12,1.02E-10,17.96910162,0.84916912,0.84916912
PLK4,0.08895484,5.943946229,7.131866169,1.62E-12,1.53E-10,17.79449338,0.873241077,0.873241077
PDSS1,0.085495416,5.753675341,7.109815997,1.89E-12,1.75E-10,17.75839798,0.834259858,0.834259858
C20orf24,0.050127816,6.3957893,7.179843618,1.16E-12,1.10E-10,17.73966596,0.499106806,0.499106806
PAK1IP1,0.058033518,6.103287309,7.132636957,1.62E-12,1.52E-10,17.66267023,0.569712053,0.569712053
NUF2,0.119477139,6.001035074,7.115528602,1.82E-12,1.69E-10,17.61379953,1.167433959,1.167433959
CEACAM19,0.166547919,5.475386644,7.094105565,2.11E-12,1.93E-10,17.61050158,1.617916112,1.617916112
CKAP2L,0.132086085,5.845971383,7.092042288,2.14E-12,1.95E-10,17.5816824,1.282580127,1.282580127
RAD51AP1,0.099110897,5.940581645,7.100267947,2.02E-12,1.86E-10,17.57769242,0.964453192,0.964453192
C11orf82,0.099229294,5.862286407,7.072065968,2.46E-12,2.21E-10,17.44814932,0.958122791,0.958122791
TUBA1C,0.050631375,6.566051202,7.152588773,1.40E-12,1.33E-10,17.43647152,0.500014508,0.500014508
IGF2BP3,0.253190803,4.907552714,7.185630407,1.11E-12,1.07E-10,17.43516415,2.524889532,2.524889532
CRY2,-0.055020046,6.282237857,-7.112157237,1.86E-12,1.73E-10,17.42075096,-0.537161332,0.537161332
LRRC31,-0.907076601,4.298555651,-7.525154728,9.68E-14,1.10E-11,17.38543412,-9.938888816,9.938888816
DONSON,0.071425084,6.039735003,7.078693629,2.35E-12,2.13E-10,17.35194997,0.690812371,0.690812371
ANKRA2,-0.071807288,6.01082265,-7.044153438,2.99E-12,2.66E-10,17.23236793,-0.687604192,0.687604192
KIF14,0.137644642,5.889598833,7.037678558,3.13E-12,2.74E-10,17.17919722,1.316166634,1.316166634
WDR77,0.04604695,6.246765939,7.072010995,2.46E-12,2.21E-10,17.1197438,0.44461298,0.44461298
RCOR2,0.202679213,5.502044613,7.008738333,3.82E-12,3.26E-10,17.07172096,1.922762679,1.922762679
UBE2S,0.086926621,6.105567932,7.046391845,2.94E-12,2.63E-10,17.05833679,0.832796742,0.832796742
CENPM,0.108153372,5.846715483,7.00036626,4.04E-12,3.42E-10,16.97525176,1.02371843,1.02371843
ANKRD46,0.062064268,6.16413897,7.034848836,3.19E-12,2.77E-10,16.93562032,0.593173532,0.593173532
C8orf59,0.058741156,6.237660636,7.025502781,3.40E-12,2.94E-10,16.8059613,0.55987797,0.55987797
FOXK2,0.045929849,6.418100707,7.038859181,3.10E-12,2.74E-10,16.7630404,0.43918407,0.43918407
MCM3,0.044365961,6.492125419,7.035576821,3.17E-12,2.77E-10,16.69080443,0.424035495,0.424035495
NUP93,0.050789405,6.283395721,7.013376099,3.70E-12,3.19E-10,16.68945919,0.48233858,0.48233858
HIST1H2AH,0.522833645,3.016925628,7.43774461,1.83E-13,2.02E-11,16.68912857,5.591529508,5.591529508
RNF139,0.052059745,6.367610107,7.010407958,3.77E-12,3.24E-10,16.60363023,0.494038717,0.494038717
HSPD1,0.045232625,6.669061668,7.037762491,3.13E-12,2.74E-10,16.58479977,0.432517174,0.432517174
CCNB1,0.071726669,6.295413853,6.998910716,4.09E-12,3.44E-10,16.57214297,0.678745283,0.678745283
RHOBTB2,-0.071424826,6.131741055,-6.961869375,5.27E-12,4.39E-10,16.56894448,-0.668395488,0.668395488
YRDC,0.051127593,6.105971139,6.969857566,4.99E-12,4.19E-10,16.56433852,0.47948077,0.47948077
C1orf163,0.060105971,5.988853014,6.91785452,7.12E-12,5.78E-10,16.3318406,0.555278544,0.555278544
RPL30,0.042668215,6.771152963,7.00624864,3.88E-12,3.30E-10,16.30207259,0.40454397,0.40454397
VGF,0.453859481,4.462879681,7.120903111,1.75E-12,1.64E-10,16.3019195,4.441216814,4.441216814
C14orf45,-0.10734076,5.988880016,-6.879820982,9.21E-12,7.39E-10,16.17521494,-0.980174892,0.980174892
PNPT1,0.047294508,6.249330253,6.924129435,6.82E-12,5.58E-10,16.12207647,0.437630478,0.437630478
SNRPD1,0.048985328,6.294278471,6.928983404,6.60E-12,5.44E-10,16.115698,0.453802956,0.453802956
CDK1,0.085093246,6.259136641,6.927264135,6.67E-12,5.49E-10,16.11541326,0.788029839,0.788029839
ZNF395,-0.056514624,6.359401004,-6.921636049,6.94E-12,5.65E-10,16.06988665,-0.522631583,0.522631583
CHAF1B,0.070103031,6.077259645,6.884891453,8.90E-12,7.20E-10,16.01704598,0.640939129,0.640939129
EME1,0.1182223,5.66894974,6.828446365,1.30E-11,1.01E-09,15.91245479,1.063364852,1.063364852
HPDL,0.269468089,5.095964548,6.883897217,8.96E-12,7.22E-10,15.90243919,2.463386812,2.463386812
MMP1,0.271961542,5.697745862,6.831897582,1.27E-11,9.97E-10,15.89721384,2.448002282,2.448002282
RFC4,0.063475556,6.120937726,6.861467549,1.04E-11,8.27E-10,15.8210638,0.576531989,0.576531989
IFRD1,0.065594156,6.188128839,6.863716137,1.03E-11,8.17E-10,15.7672096,0.596093206,0.596093206
RPUSD3,0.053101228,6.156966134,6.850879435,1.12E-11,8.81E-10,15.72122529,0.480839356,0.480839356
