,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
RNF183,-0.221726821,4.662062707,-2.769738831,0.005688423,0.019435095,-2.288420832,-0.379466239,0.379466239
HIST1H1D,0.190108217,4.372333721,2.769678943,0.005689462,0.019435095,-2.289351865,0.32535374,0.32535374
PSMB3,0.026104505,6.449319954,3.243416361,0.001210492,0.005539895,-2.289481173,0.058904775,0.058904775
HSPA1B,0.025888273,6.466583017,3.247476659,0.001193488,0.005479449,-2.289493366,0.058540196,0.058540196
LOC253724,-0.071669351,4.932907157,-2.774418467,0.005607702,0.019250246,-2.290212211,-0.122953337,0.122953337
PSME3,0.017207624,6.474932402,3.247432231,0.001193673,0.005479449,-2.292091049,0.038910965,0.038910965
SLC16A1,0.045270882,6.182336408,3.166456388,0.001578259,0.006892,-2.292180441,0.097860016,0.097860016
BNIP3,0.032554938,6.278324328,3.197031573,0.001421298,0.006331324,-2.292342399,0.07157221,0.07157221
DGAT2,0.059110184,6.127591572,3.14739382,0.001684048,0.007267087,-2.295009234,0.126415384,0.126415384
NDUFB3,0.020382657,6.228815765,3.176557534,0.001524718,0.006707197,-2.2955594,0.044300867,0.044300867
LRRC8B,0.027608235,6.223610992,3.176329708,0.001525907,0.00671093,-2.296126456,0.059998693,0.059998693
MAD2L2,0.029347068,6.171399771,3.156607364,0.001632127,0.007094251,-2.296497641,0.063069591,0.063069591
SNRPD2,0.02003064,6.494226768,3.250897756,0.001179333,0.00542372,-2.296909005,0.045383475,0.045383475
FGF5,0.233904054,3.482160862,2.776349972,0.005574687,0.019170276,-2.298184668,0.401700188,0.401700188
HDDC2,0.023243542,6.245901232,3.181561659,0.001498819,0.006618359,-2.300866192,0.050653481,0.050653481
KLHL21,0.026375012,6.299398766,3.199362849,0.001409942,0.006290682,-2.302178399,0.058059376,0.058059376
FABP7,0.294498832,4.274660016,2.763804794,0.005792289,0.019739585,-2.304203594,0.50202096,0.50202096
DEPDC7,0.079968099,5.247734603,2.817248348,0.004915604,0.017258863,-2.305010219,0.140982785,0.140982785
NRL,-0.04705879,5.284643387,-2.807437982,0.005066922,0.017711332,-2.307994477,-0.082435177,0.082435177
TTLL12,0.029877339,6.424967787,3.232222422,0.001258537,0.005730527,-2.308313913,0.066979181,0.066979181
G6PC3,-0.027410556,6.380367977,-3.210533508,0.001356681,0.006081937,-2.308707177,-0.060740643,0.060740643
C2orf63,-0.04338946,5.613227521,-2.889089026,0.003926451,0.014409161,-2.310373722,-0.079895673,0.079895673
TIMM17A,0.020970439,6.395249827,3.222258826,0.001302778,0.005896581,-2.311442919,0.046751491,0.046751491
KRT81,0.140435662,5.586501332,2.919934983,0.003560252,0.013285278,-2.31346158,0.263545686,0.263545686
PNMA3,0.187943387,4.484329182,2.758400495,0.00588837,0.020001395,-2.313611769,0.319304482,0.319304482
SPRED2,-0.030309194,6.340098415,-3.196803733,0.001422412,0.006334857,-2.313913646,-0.066627585,0.066627585
ROS1,0.236134895,3.156455846,2.770533891,0.005674635,0.019395628,-2.314998712,0.404332871,0.404332871
SIAH3,-0.209232604,3.211260474,-2.771965697,0.005649881,0.01934454,-2.315499473,-0.358507847,0.358507847
